GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Petri4J,dev.tuplle.petri4j.parser.json.model,Arc.Type,11,74,1,3,3,15,3,4,2,3
Petri4J,dev.tuplle.petri4j.parser.json.model,Transition,218,28,36,0,32,10,23,5,5,5
Petri4J,dev.tuplle.petri4j.parser.json.model,Arc,365,56,66,0,47,22,38,11,5,11
Petri4J,dev.tuplle.petri4j.parser.json.model,Place,267,39,46,0,37,15,28,7,5,7
Petri4J,dev.tuplle.petri4j.parser.json.model,PetrinetSchema,365,64,66,0,47,22,38,11,5,11
Petri4J,dev.tuplle.petri4j.parser,ParserFactory,23,18,0,2,6,4,1,3,1,2
Petri4J,dev.tuplle.petri4j.parser,ParsingException,12,0,0,0,6,0,3,0,3,0
Petri4J,dev.tuplle.petri4j.parser,ParsingFormat,0,35,0,0,0,8,0,3,0,3
Petri4J,dev.tuplle.petri4j.transition,TransitionState,0,21,0,0,0,4,0,1,0,1
Petri4J,dev.tuplle.petri4j.transition,Transition,170,117,33,11,10,28,27,16,9,12
Petri4J,dev.tuplle.petri4j.arc,ArcType,0,27,0,0,0,5,0,1,0,1
Petri4J,dev.tuplle.petri4j.arc,Arc,183,27,38,0,2,11,28,5,9,5
Petri4J,dev.tuplle.petri4j.parser.petriflow,PetriflowParsingException,9,0,0,0,4,0,2,0,2,0
Petri4J,dev.tuplle.petri4j.parser.petriflow,PetriflowParser,87,179,5,6,15,24,6,13,1,11
Petri4J,dev.tuplle.petri4j.arc.output,RegularOutputArc,50,15,8,0,8,4,10,2,6,2
Petri4J,dev.tuplle.petri4j.arc.output,OutputArc,40,7,8,0,4,2,9,1,5,1
Petri4J,dev.tuplle.petri4j.arc.output,WeightedOutputArc,89,13,16,0,8,4,15,2,7,2
Petri4J,dev.tuplle.petri4j.parser.ilovepetrinets,ILovePetriNetsParser,57,340,12,34,10,58,12,22,0,11
Petri4J,dev.tuplle.petri4j.generic,Node,112,12,22,0,4,5,19,2,8,2
Petri4J,dev.tuplle.petri4j.arc.input,ReadArc,50,23,8,2,8,4,10,4,6,3
Petri4J,dev.tuplle.petri4j.arc.input,InhibitorArc,50,23,8,2,8,4,10,4,6,3
Petri4J,dev.tuplle.petri4j.arc.input,ResetArc,43,18,8,0,5,5,9,3,5,3
Petri4J,dev.tuplle.petri4j.arc.input,WeightedInputArc,89,13,16,0,8,4,15,2,7,2
Petri4J,dev.tuplle.petri4j.arc.input,RegularInputArc,50,29,8,2,8,5,10,4,6,3
Petri4J,dev.tuplle.petri4j.arc.input,InputArc,40,7,8,0,4,2,9,1,5,1
Petri4J,dev.tuplle.petri4j,Net,269,189,54,8,5,51,41,23,12,21
Petri4J,dev.tuplle.petri4j.parser.json,JsonParser,115,147,7,4,18,21,8,10,1,10
Petri4J,dev.tuplle.petri4j.parser.json,PetriNetJsonParsingException,9,0,0,0,4,0,2,0,2,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,FieldView,66,0,0,0,28,0,19,0,19,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Validations,14,0,2,0,4,0,3,0,2,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Appearance,31,39,4,0,5,8,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Event,17,0,0,0,7,0,5,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,TriggerType,31,32,4,0,5,7,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Scope,31,25,4,0,5,6,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Trigger,24,0,0,0,10,0,7,0,7,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Component,28,0,2,0,10,0,7,0,6,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Breakpoint,14,3,0,0,6,1,4,1,4,1
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,DataGroupAlignment,31,39,4,0,5,8,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,LayoutType,31,32,4,0,5,7,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Init,3,0,0,0,1,0,1,0,1,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Properties,21,0,2,0,7,0,5,0,4,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Template,31,25,4,0,5,6,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,CaseEventType,31,25,4,0,5,6,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Mapping,61,0,8,0,19,0,13,0,9,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,BooleanImageView,17,0,0,0,7,0,5,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,EventPhaseType,31,25,4,0,5,6,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Property,17,0,0,0,7,0,5,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Format,10,0,0,0,4,0,3,0,3,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,EventType,31,39,4,0,5,8,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,ProcessEvent,10,0,0,0,4,0,3,0,3,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,UserRef,3,0,0,0,1,0,1,0,1,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,CaseLogic,46,0,4,0,16,0,11,0,9,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Option,10,0,0,0,4,0,3,0,3,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Options,21,0,2,0,7,0,5,0,4,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,TransactionRef,10,0,0,0,4,0,3,0,3,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,CaseRoleRef,3,0,0,0,1,0,1,0,1,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,I18N,21,0,2,0,7,0,5,0,4,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Inits,14,0,2,0,4,0,3,0,2,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,CaseEvent,10,0,0,0,4,0,3,0,3,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,CaseEvents,14,0,2,0,4,0,3,0,2,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Layout,59,0,0,0,25,0,17,0,17,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,DataGroup,77,0,2,0,31,0,21,0,20,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,DataEvent,10,0,0,0,4,0,3,0,3,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Logic,85,0,6,0,31,0,21,0,18,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Place,40,12,0,0,18,4,11,4,11,4
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,FieldAlignment,31,32,4,0,5,7,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,I18NStringType,11,6,0,0,5,2,3,2,3,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,ProcessEvents,14,0,2,0,4,0,3,0,2,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Data,184,0,10,0,70,0,47,0,42,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Valid,3,0,0,0,1,0,1,0,1,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,DataFocusPolicy,31,25,4,0,5,6,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,DocumentType,185,27,21,3,61,9,41,6,29,6
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,ArcType,31,46,4,0,5,9,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,CaseUserRef,3,0,0,0,1,0,1,0,1,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,CasePermissionRef,17,0,0,0,7,0,5,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,CompactDirection,31,25,4,0,5,6,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Encryption,17,0,0,0,7,0,5,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Transaction,17,0,0,0,7,0,5,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Action,24,0,0,0,10,0,7,0,7,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Actions,32,0,4,0,10,0,7,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,BaseEvent,28,0,2,0,10,0,7,0,6,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,AssignPolicy,31,25,4,0,5,6,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,DataEventType,31,25,4,0,5,6,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,AllowedNets,14,0,2,0,4,0,3,0,2,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,DataType,31,137,4,0,5,22,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Function,24,0,0,0,10,0,7,0,7,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,IconType,31,25,4,0,5,6,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Validation,17,0,0,0,7,0,5,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,AssignedUser,17,0,0,0,7,0,5,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,ActionRef,10,0,0,0,4,0,3,0,3,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Arc,38,18,2,0,16,6,9,6,8,6
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,FinishPolicy,31,25,4,0,5,6,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,TransitionLayout,49,3,0,0,21,1,14,1,14,1
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Icons,14,0,2,0,4,0,3,0,2,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Transition,155,9,14,0,55,3,36,3,29,3
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Expression,23,0,2,0,9,0,6,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Icon,24,0,0,0,10,0,7,0,7,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,DataRef,42,0,2,0,16,0,11,0,10,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,ProcessEventType,31,18,4,0,5,5,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Role,35,0,2,0,13,0,9,0,8,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,RoleRef,3,0,0,0,1,0,1,0,1,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,HideEmptyRows,31,32,4,0,5,7,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,I18NStringTypeWithExpression,16,0,2,0,6,0,4,0,3,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Document,0,3,0,0,0,1,0,1,0,1
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,DocumentRef,21,0,2,0,7,0,5,0,4,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Currency,24,0,0,0,10,0,7,0,7,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,Behavior,31,60,4,0,5,11,4,2,2,2
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,PermissionRef,17,0,0,0,7,0,5,0,5,0
Petri4J,dev.tuplle.petri4j.parser.petriflow.model,ObjectFactory,239,0,0,0,61,0,60,0,60,0
Petri4J,dev.tuplle.petri4j.place,Place,163,77,31,1,9,20,26,9,10,9
